SOC,Occupation,Empl,Mean Ann Wages2,LQ,Unempl,Unempl Rate,Online Job Ads,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
47-2151,Pipelayers,14,46500,0.77,n/a,n/a,n/a,0,0,1,0,1,0,-0.005
49-2091,Avionics Technicians,14,74000,1.24,n/a,n/a,n/a,5,0.079,1,0,1,0,-0.001
51-6021,"Pressers, Textile, Garment, and Related Materials",14,27800,0.95,n/a,n/a,n/a,-6,-0.073,1,1,1,0,-0.02
51-9081,Dental Laboratory Technicians,14,55600,0.84,n/a,n/a,n/a,0,0.006,1,1,1,0,-0.01
53-2011,"Airline Pilots, Copilots, and Flight Engineers",14,351300,0.29,n/a,n/a,n/a,3,0.055,2,1,1,0,-0.001
53-7011,Conveyor Operators and Tenders,14,40900,1.09,n/a,n/a,n/a,1,0.008,1,1,1,0,-0.011
17-3031,Surveying and Mapping Technicians,13,48900,0.45,n/a,n/a,n/a,-2,-0.03,2,0,1,0,-0.001
19-3099,"Social Scientists and Related Workers, All Other",13,76400,0.68,n/a,n/a,n/a,-1,-0.015,1,0,1,0,-0.006
25-1065,"Political Science Teachers, Postsecondary",13,85800,1.44,n/a,n/a,n/a,2,0.031,1,0,0,0,-0.005
25-1122,"Communications Teachers, Postsecondary",13,71700,0.88,n/a,n/a,n/a,2,0.031,1,0,0,0,-0.004
29-1213,Dermatologists,13,318800,2.41,n/a,n/a,n/a,1,0.02,0,0,0,0,0.002
43-3099,"Financial Clerks, All Other",13,51100,0.67,n/a,n/a,n/a,-2,-0.034,1,0,1,0,-0.004
45-4022,Logging Equipment Operators,13,54400,1.17,n/a,n/a,n/a,9,0.259,2,1,1,0,-0.006
47-2121,Glaziers,13,49000,0.45,n/a,n/a,n/a,1,0.016,1,0,1,0,-0.002
47-3019,"Helpers, Construction Trades, All Other",13,43200,0.97,n/a,n/a,n/a,0,-0.003,1,0,1,0,-0.001
49-2097,Audiovisual Equipment Installers and Repairers,13,54200,1.12,n/a,n/a,n/a,-3,-0.046,1,0,1,0,0.001
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",13,66300,0.53,n/a,n/a,n/a,1,0.023,1,0,1,0,-0.002
51-3099,"Food Processing Workers, All Other",13,36500,0.44,n/a,n/a,n/a,2,0.035,1,1,1,0,-0.003
51-5113,Print Binding and Finishing Workers,13,43700,0.76,n/a,n/a,n/a,-1,-0.021,1,1,1,0,-0.024
51-9083,Ophthalmic Laboratory Technicians,13,44900,1.32,n/a,n/a,n/a,-3,-0.046,1,1,1,0,-0.003
19-2031,Chemists,12,77200,0.28,n/a,n/a,n/a,0,-0.004,1,0,1,0,-0.004
19-4021,Biological Technicians,12,42300,0.29,n/a,n/a,n/a,0,0.006,1,0,1,0,-0.003
25-1052,"Chemistry Teachers, Postsecondary",12,91600,1.13,n/a,n/a,n/a,1,0.024,1,0,0,0,-0.005
27-3042,Technical Writers,12,75500,0.42,n/a,n/a,n/a,-2,-0.03,1,0,1,0,-0.005
39-6011,Baggage Porters and Bellhops,12,30500,0.75,n/a,n/a,n/a,-3,-0.039,2,1,1,0,-0.009
41-9031,Sales Engineers,12,113900,0.43,n/a,n/a,n/a,-2,-0.036,1,0,1,0,-0.002
53-2012,Commercial Pilots,12,164000,0.45,n/a,n/a,n/a,0,-0.001,1,0,1,0,-0.002
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12,33300,1.78,n/a,n/a,n/a,-6,-0.079,1,0,1,0,-0.007
17-2011,Aerospace Engineers,11,151200,0.32,n/a,n/a,n/a,0,0.003,1,0,0,0,0
17-2081,Environmental Engineers,11,101800,0.58,n/a,n/a,n/a,-2,-0.035,1,0,0,0,-0.006
17-3013,Mechanical Drafters,11,72000,0.52,n/a,n/a,n/a,-1,-0.02,1,0,1,0,-0.012
25-1126,"Philosophy and Religion Teachers, Postsecondary",11,73400,1.05,n/a,n/a,n/a,2,0.034,1,0,0,0,-0.006
27-2011,Actors,11,78800,0.57,n/a,n/a,n/a,0,-0.007,1,1,1,0,-0.007
27-3043,Writers and Authors,11,75400,0.45,n/a,n/a,n/a,-2,-0.035,1,0,0,0,-0.002
29-1222,"Physicians, Pathologists",11,244000,1.76,n/a,n/a,n/a,0,0.008,0,0,0,0,-0.001
43-4141,New Accounts Clerks,11,45400,0.55,n/a,n/a,n/a,-10,-0.122,1,0,0,0,-0.019
43-9022,Word Processors and Typists,11,36500,0.62,n/a,n/a,n/a,-13,-0.143,1,1,0,-1,-0.051
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",11,77100,0.4,n/a,n/a,n/a,3,0.068,1,1,1,0,-0.004
47-2231,Solar Photovoltaic Installers,11,47300,0.71,n/a,n/a,n/a,2,0.048,1,0,1,0,0.013
49-9031,Home Appliance Repairers,11,50000,0.72,n/a,n/a,n/a,-3,-0.041,1,0,0,0,-0.003
53-2031,Flight Attendants,11,78000,0.17,n/a,n/a,n/a,2,0.046,2,1,1,0,0.003
11-3111,Compensation and Benefits Managers,10,135900,1.03,n/a,n/a,n/a,-5,-0.082,1,0,0,0,-0.005
11-9072,"Entertainment and Recreation Managers, Except Gambling",10,78700,0.5,n/a,n/a,n/a,3,0.074,1,0,1,0,0.001
11-9131,Postmasters and Mail Superintendents,10,85500,1.42,n/a,n/a,n/a,1,0.013,1,0,0,0,-0.009
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",10,110400,0.86,n/a,n/a,n/a,-2,-0.03,1,0,0,0,-0.002
19-1041,Epidemiologists,10,59700,1.76,n/a,n/a,n/a,1,0.018,1,0,0,0,0.008
19-4031,Chemical Technicians,10,45900,0.35,n/a,n/a,n/a,0,0,1,0,1,0,-0.004
23-1012,Judicial Law Clerks,10,51100,1.44,n/a,n/a,n/a,-5,-0.08,1,0,0,0,-0.003
25-2051,"Special Education Teachers, Preschool",10,75200,0.73,n/a,n/a,n/a,1,0.022,1,0,0,0,-0.003
27-1011,Art Directors,10,123300,0.39,n/a,n/a,n/a,1,0.015,1,0,0,0,-0.002
27-4021,Photographers,10,49100,0.38,n/a,n/a,n/a,-1,-0.017,1,0,0,0,-0.005
29-1125,Recreational Therapists,10,49700,1.2,n/a,n/a,n/a,-1,-0.018,1,0,0,0,-0.005
29-1161,Nurse Midwives,10,120300,2.1,n/a,n/a,n/a,1,0.022,0,0,0,0,0.006
29-1249,"Surgeons, All Other",10,432800,0.72,n/a,n/a,n/a,-2,-0.032,0,0,0,0,-0.001
35-2019,"Cooks, All Other",10,35200,0.8,n/a,n/a,n/a,-1,-0.013,1,1,1,0,0
43-9071,"Office Machine Operators, Except Computer",10,39500,0.78,n/a,n/a,n/a,-12,-0.152,1,1,1,0,-0.021
49-3051,Motorboat Mechanics and Service Technicians,10,52900,0.85,n/a,n/a,n/a,1,0.018,1,0,0,0,0.001
49-3052,Motorcycle Mechanics,10,45200,1.42,n/a,n/a,n/a,1,0.014,1,0,0,0,0
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",10,46800,0.56,n/a,n/a,n/a,1,0.019,1,0,1,0,-0.012
53-6032,Aircraft Service Attendants,10,44100,0.69,n/a,n/a,n/a,4,0.103,2,1,1,0,0
53-7199,"Material Moving Workers, All Other",10,44400,0.76,n/a,n/a,n/a,-1,-0.023,1,0,1,0,-0.003
15-2041,Statisticians,9,105400,0.62,n/a,n/a,n/a,-1,-0.024,1,0,0,0,0.003
19-2099,"Physical Scientists, All Other",9,102000,0.75,n/a,n/a,n/a,-1,-0.031,0,0,0,0,-0.005
19-3022,Survey Researchers,9,47600,2.05,n/a,n/a,n/a,-2,-0.037,1,0,1,0,-0.008
25-1063,"Economics Teachers, Postsecondary",9,115800,1.38,n/a,n/a,n/a,1,0.022,1,0,0,0,-0.005
25-1124,"Foreign Language and Literature Teachers, Postsecondary",9,69200,0.8,n/a,n/a,n/a,0,0.011,1,0,0,0,-0.006
27-1021,Commercial and Industrial Designers,9,85100,0.56,n/a,n/a,n/a,0,0.002,1,0,0,0,-0.004
29-1011,Chiropractors,9,70900,0.5,n/a,n/a,n/a,0,0.002,0,0,0,0,0.008
33-9093,Transportation Security Screeners,9,57800,0.34,n/a,n/a,n/a,3,0.088,1,0,0,0,-0.007
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",9,37000,0.11,n/a,n/a,n/a,5,0.171,1,1,1,0,-0.007
49-3092,Recreational Vehicle Service Technicians,9,47200,0.96,n/a,n/a,n/a,2,0.042,1,0,1,0,0.008
49-9011,Mechanical Door Repairers,9,51400,0.62,n/a,n/a,n/a,2,0.05,1,0,0,0,0.004
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",9,47900,0.59,n/a,n/a,n/a,-2,-0.041,1,0,1,0,-0.002
49-9094,Locksmiths and Safe Repairers,9,56300,1.15,n/a,n/a,n/a,-1,-0.021,1,0,0,0,-0.015
51-5111,Prepress Technicians and Workers,9,51400,0.8,n/a,n/a,n/a,-1,-0.018,1,0,1,0,-0.02
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",9,37600,1.29,n/a,n/a,n/a,-1,-0.014,1,1,1,0,-0.015
51-8013,Power Plant Operators,9,97100,0.57,n/a,n/a,n/a,2,0.047,1,0,1,0,-0.013
51-8021,Stationary Engineers and Boiler Operators,9,72800,0.56,n/a,n/a,n/a,0,0.002,1,0,1,0,-0.009
11-9161,Emergency Management Directors,8,76800,1.32,n/a,n/a,n/a,0,-0.007,1,0,0,0,-0.002
17-3019,"Drafters, All Other",8,61500,1.06,n/a,n/a,n/a,0,0.009,1,0,0,0,-0.013
19-4092,Forensic Science Technicians,8,49600,0.89,n/a,n/a,n/a,0,0.005,1,0,1,0,0.007
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",8,81000,1.4,n/a,n/a,n/a,1,0.039,1,0,0,0,-0.005
27-3023,"News Analysts, Reporters, and Journalists",8,86000,0.37,n/a,n/a,n/a,-11,-0.166,1,0,0,0,-0.009
37-3019,"Grounds Maintenance Workers, All Other",8,41300,1.26,n/a,n/a,n/a,-2,-0.034,1,0,1,0,-0.003
39-2011,Animal Trainers,8,40500,0.61,n/a,n/a,n/a,2,0.063,1,0,1,0,-0.001
39-3099,"Entertainment Attendants and Related Workers, All Other",8,26000,1.71,n/a,n/a,n/a,-5,-0.086,2,1,1,0,-0.001
45-2011,Agricultural Inspectors,8,47900,1.21,n/a,n/a,n/a,0,-0.009,1,0,1,0,-0.004
45-2041,"Graders and Sorters, Agricultural Products",8,37500,0.41,n/a,n/a,n/a,-3,-0.062,1,1,1,0,-0.013
47-2081,Drywall and Ceiling Tile Installers,8,53100,0.19,n/a,n/a,n/a,-2,-0.036,1,0,0,0,-0.002
47-2132,"Insulation Workers, Mechanical",8,51500,0.62,n/a,n/a,n/a,0,0.006,1,0,0,0,-0.001
47-4099,"Construction and Related Workers, All Other",8,47800,0.52,n/a,n/a,n/a,-2,-0.038,1,0,0,0,-0.002
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",8,104800,0.68,n/a,n/a,n/a,2,0.046,1,0,0,0,0.01
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",8,62700,1.4,n/a,n/a,n/a,-2,-0.052,0,0,0,0,-0.024
49-3022,Automotive Glass Installers and Repairers,8,45000,0.89,n/a,n/a,n/a,0,0.006,1,0,0,0,-0.001
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",8,43600,0.69,n/a,n/a,n/a,1,0.038,1,0,0,0,-0.015
51-4111,Tool and Die Makers,8,65400,0.31,n/a,n/a,n/a,0,0.006,1,0,0,0,-0.011
51-6093,Upholsterers,8,52900,0.77,n/a,n/a,n/a,-1,-0.028,1,0,0,0,-0.006
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",8,83700,0.45,n/a,n/a,n/a,3,0.121,1,0,1,0,-0.011
51-9022,"Grinding and Polishing Workers, Hand",8,43400,1.34,n/a,n/a,n/a,-5,-0.085,1,0,0,0,-0.025
51-9162,Computer Numerically Controlled Tool Programmers,8,71000,0.58,n/a,n/a,n/a,2,0.049,1,0,1,0,0.008
53-6051,Transportation Inspectors,8,98200,0.74,n/a,n/a,n/a,0,0.003,1,0,0,0,-0.003
17-3027,Mechanical Engineering Technologists and Technicians,7,70500,0.35,n/a,n/a,n/a,-1,-0.016,1,0,0,0,-0.005
19-3039,"Psychologists, All Other",7,86700,0.78,n/a,n/a,n/a,1,0.015,0,0,0,0,-0.002
19-4042,"Environmental Science and Protection Technicians, Including Health",7,47700,0.39,n/a,n/a,n/a,-2,-0.044,1,0,1,0,-0.002
25-1031,"Architecture Teachers, Postsecondary",7,96100,1.38,n/a,n/a,n/a,1,0.039,0,0,0,0,-0.005
25-1053,"Environmental Science Teachers, Postsecondary",7,87700,1.77,n/a,n/a,n/a,1,0.033,0,0,0,0,-0.004
25-1069,"Social Sciences Teachers, Postsecondary, All Other",7,72100,0.75,n/a,n/a,n/a,1,0.047,0,0,0,0,-0.004
25-2023,"Career/Technical Education Teachers, Middle School",7,72100,0.84,n/a,n/a,n/a,0,-0.002,0,0,0,0,-0.004
27-2042,Musicians and Singers,7,74700,0.38,n/a,n/a,n/a,3,0.097,1,0,0,0,-0.003
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",7,55300,0.86,n/a,n/a,n/a,0,0.011,1,0,0,0,-0.001
27-4012,Broadcast Technicians,7,48500,0.65,n/a,n/a,n/a,-7,-0.133,0,0,0,0,-0.011
29-1217,Neurologists,7,262400,1.7,n/a,n/a,n/a,1,0.018,0,0,0,0,0.001
43-5041,"Meter Readers, Utilities",7,47700,0.69,n/a,n/a,n/a,-2,-0.039,0,0,0,0,-0.017
45-2091,Agricultural Equipment Operators,7,39500,0.25,n/a,n/a,n/a,2,0.062,1,0,1,0,0.001
47-2221,Structural Iron and Steel Workers,7,54700,0.22,n/a,n/a,n/a,1,0.032,1,0,0,0,-0.001
49-3091,Bicycle Repairers,7,29600,1.06,n/a,n/a,n/a,1,0.035,1,0,0,0,-0.009
49-9096,Riggers,7,67500,0.54,n/a,n/a,n/a,1,0.052,1,0,0,0,-0.002
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",7,39900,1.53,n/a,n/a,n/a,-2,-0.041,1,0,0,0,-0.017
51-9191,Adhesive Bonding Machine Operators and Tenders,7,41000,1.05,n/a,n/a,n/a,1,0.036,1,0,0,0,-0.01
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",7,42900,1.01,n/a,n/a,n/a,0,-0.007,1,0,0,0,-0.005
53-6099,"Transportation Workers, All Other",7,41900,1.19,n/a,n/a,n/a,-2,-0.047,1,0,0,0,-0.001
17-1012,Landscape Architects,6,79400,0.62,n/a,n/a,n/a,-1,-0.026,0,0,0,0,-0.002
17-2131,Materials Engineers,6,103900,0.49,n/a,n/a,n/a,0,0.003,0,0,0,0,-0.003
17-3012,Electrical and Electronics Drafters,6,81900,0.55,n/a,n/a,n/a,-1,-0.028,0,0,0,0,-0.01
19-1012,Food Scientists and Technologists,6,62500,0.77,n/a,n/a,n/a,1,0.032,0,0,0,0,-0.001
19-1022,Microbiologists,6,83100,0.61,n/a,n/a,n/a,0,-0.008,0,0,0,0,-0.002
19-1032,Foresters,6,56100,1.09,n/a,n/a,n/a,-1,-0.025,0,0,0,0,-0.006
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,75000,0.8,n/a,n/a,n/a,0,-0.007,0,0,0,0,-0.005
25-1067,"Sociology Teachers, Postsecondary",6,92600,0.94,n/a,n/a,n/a,0,0.008,0,0,0,0,-0.005
27-3099,"Media and Communication Workers, All Other",6,68400,0.51,n/a,n/a,n/a,-3,-0.078,0,0,0,0,-0.002
27-4099,"Media and Communication Equipment Workers, All Other",6,52500,1.04,n/a,n/a,n/a,0,-0.013,0,0,0,0,-0.004
29-1128,Exercise Physiologists,6,60000,1.26,n/a,n/a,n/a,1,0.024,0,0,0,0,-0.001
29-2092,Hearing Aid Specialists,6,52500,1.19,n/a,n/a,n/a,1,0.044,0,0,0,0,0.003
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",6,71600,0.6,n/a,n/a,n/a,0,0,1,0,0,0,-0.004
33-9011,Animal Control Workers,6,39800,1.12,n/a,n/a,n/a,0,0.001,1,0,0,0,-0.002
39-5011,Barbers,6,48200,0.62,n/a,n/a,n/a,2,0.07,1,0,0,0,0.003
43-4041,"Credit Authorizers, Checkers, and Clerks",6,33700,0.99,n/a,n/a,n/a,-9,-0.17,0,0,0,0,-0.012
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",6,47100,0.31,n/a,n/a,n/a,0,0.014,0,0,0,0,-0.002
47-4021,Elevator and Escalator Installers and Repairers,6,70700,0.52,n/a,n/a,n/a,1,0.021,0,0,0,0,0
49-2092,"Electric Motor, Power Tool, and Related Repairers",6,51600,0.73,n/a,n/a,n/a,-1,-0.02,1,0,0,0,-0.002
51-9071,Jewelers and Precious Stone and Metal Workers,6,52900,0.54,n/a,n/a,n/a,1,0.043,1,0,0,0,-0.009
53-2021,Air Traffic Controllers,6,155300,0.54,n/a,n/a,n/a,1,0.042,1,0,0,0,-0.003
13-1021,"Buyers and Purchasing Agents, Farm Products",5,74600,0.87,n/a,n/a,n/a,0,-0.005,0,0,0,0,0.002
15-1221,Computer and Information Research Scientists,5,90900,0.27,n/a,n/a,n/a,0,-0.013,0,0,0,0,0.009
17-1021,Cartographers and Photogrammetrists,5,61200,0.85,n/a,n/a,n/a,0,-0.017,0,0,0,0,0.001
17-2031,Bioengineers and Biomedical Engineers,5,97600,0.45,n/a,n/a,n/a,0,0.007,0,0,0,0,-0.001
17-2041,Chemical Engineers,5,112200,0.45,n/a,n/a,n/a,0,0.008,0,0,0,0,-0.006
17-3025,Environmental Engineering Technologists and Technicians,5,66100,0.78,n/a,n/a,n/a,-3,-0.079,0,0,0,0,-0.005
19-1013,Soil and Plant Scientists,5,62000,0.56,n/a,n/a,n/a,0,-0.005,0,0,0,0,-0.001
19-2012,Physicists,5,127300,0.41,n/a,n/a,n/a,1,0.026,0,0,0,0,-0.003
25-1054,"Physics Teachers, Postsecondary",5,100100,0.76,n/a,n/a,n/a,1,0.025,0,0,0,0,-0.004
27-1029,"Designers, All Other",5,73100,0.95,n/a,n/a,n/a,0,-0.009,0,0,0,0,-0.005
27-3092,Court Reporters and Simultaneous Captioners,5,61100,0.89,n/a,n/a,n/a,-1,-0.032,0,0,0,0,-0.005
29-1241,"Ophthalmologists, Except Pediatric",5,305000,0.71,n/a,n/a,n/a,0,0.021,0,0,0,0,-0.001
33-2021,Fire Inspectors and Investigators,5,66000,0.77,n/a,n/a,n/a,0,0.013,0,0,0,0,-0.002
33-2022,Forest Fire Inspectors and Prevention Specialists,5,47700,3.09,n/a,n/a,n/a,0,0.011,1,0,0,0,0.005
39-5093,Shampooers,5,27900,0.94,n/a,n/a,n/a,0,-0.014,1,0,0,0,0.003
43-4011,Brokerage Clerks,5,61000,0.22,n/a,n/a,n/a,-2,-0.068,0,0,0,0,-0.015
47-2044,Tile and Stone Setters,5,51500,0.23,n/a,n/a,n/a,0,0.021,0,0,0,0,0.006
49-9063,Musical Instrument Repairers and Tuners,5,34500,1.74,n/a,n/a,n/a,-1,-0.036,0,0,0,0,-0.002
51-3093,Food Cooking Machine Operators and Tenders,5,40100,0.33,n/a,n/a,n/a,0,-0.019,1,0,0,0,-0.007
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",5,42900,0.76,n/a,n/a,n/a,-1,-0.042,0,0,0,0,-0.019
51-9123,"Painting, Coating, and Decorating Workers",5,50300,1.07,n/a,n/a,n/a,-3,-0.106,0,0,0,0,-0.004
11-2011,Advertising and Promotions Managers,4,125800,0.44,n/a,n/a,n/a,-2,-0.084,0,0,0,0,-0.013
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",4,103100,0.52,n/a,n/a,n/a,0,-0.022,0,0,0,0,0.005
17-2171,Petroleum Engineers,4,145100,0.37,n/a,n/a,n/a,0,0.025,0,0,0,0,-0.004
19-1031,Conservation Scientists,4,62300,0.33,n/a,n/a,n/a,-1,-0.039,0,0,0,0,-0.002
19-2042,"Geoscientists, Except Hydrologists and Geographers",4,63100,0.34,n/a,n/a,n/a,-1,-0.047,0,0,0,0,-0.002
19-3011,Economists,4,114000,0.45,n/a,n/a,n/a,-1,-0.032,0,0,0,0,-0.003
19-4012,Agricultural Technicians,4,37500,0.48,n/a,n/a,n/a,0,0.014,1,0,1,0,-0.001
19-4013,Food Science Technicians,4,40400,0.42,n/a,n/a,n/a,1,0.054,1,0,0,0,-0.001
21-2021,"Directors, Religious Activities and Education",4,73000,0.36,n/a,n/a,n/a,1,0.042,0,0,0,0,-0.003
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4,65300,0.59,n/a,n/a,n/a,0,0.023,0,0,0,0,-0.003
25-1113,"Social Work Teachers, Postsecondary",4,69300,0.58,n/a,n/a,n/a,1,0.043,0,0,0,0,-0.005
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",4,63700,0.63,n/a,n/a,n/a,0,0.008,0,0,0,0,-0.004
25-4012,Curators,4,56000,0.66,n/a,n/a,n/a,0,0.005,0,0,0,0,0
27-1019,"Artists and Related Workers, All Other",4,104200,1.16,n/a,n/a,n/a,-1,-0.026,0,0,0,0,-0.006
27-4032,Film and Video Editors,4,57700,0.31,n/a,n/a,n/a,-1,-0.043,0,0,0,0,-0.001
29-2036,Medical Dosimetrists,4,153100,1.96,n/a,n/a,n/a,1,0.033,0,0,0,0,-0.001
29-2091,Orthotists and Prosthetists,4,73200,0.81,n/a,n/a,n/a,1,0.031,0,0,0,0,0.005
33-3031,Fish and Game Wardens,4,70200,1.1,n/a,n/a,n/a,0,-0.005,0,0,0,0,-0.012
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",4,39400,0.48,n/a,n/a,n/a,0,0.003,1,0,1,0,0.002
43-9111,Statistical Assistants,4,50400,1.17,n/a,n/a,n/a,-4,-0.129,0,0,0,0,-0.007
45-4011,Forest and Conservation Workers,4,47000,1.02,n/a,n/a,n/a,-1,-0.046,1,0,1,0,-0.009
47-2041,Carpet Installers,4,40800,0.47,n/a,n/a,n/a,-2,-0.074,0,0,0,0,-0.02
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",4,44400,0.3,n/a,n/a,n/a,0,0.008,0,0,0,0,0.004
47-3012,Helpers--Carpenters,4,39000,0.36,n/a,n/a,n/a,-3,-0.102,0,0,0,0,-0.002
47-4031,Fence Erectors,4,36200,0.37,n/a,n/a,n/a,1,0.054,0,0,0,0,-0.002
47-4041,Hazardous Materials Removal Workers,4,45000,0.15,n/a,n/a,n/a,-4,-0.136,0,0,0,0,-0.002
47-5023,"Earth Drillers, Except Oil and Gas",4,56200,0.49,n/a,n/a,n/a,-1,-0.026,0,0,0,0,-0.003
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",4,68500,0.23,n/a,n/a,n/a,0,0.017,0,0,0,0,-0.005
51-2051,Fiberglass Laminators and Fabricators,4,38700,0.39,n/a,n/a,n/a,0,-0.003,0,0,0,0,-0.003
51-6052,"Tailors, Dressmakers, and Custom Sewers",4,37600,0.54,n/a,n/a,n/a,-1,-0.055,1,0,0,0,-0.009
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,4,40800,1.47,n/a,n/a,n/a,-1,-0.04,0,0,0,0,-0.015
51-7021,Furniture Finishers,4,41400,0.63,n/a,n/a,n/a,0,0.008,0,0,0,0,-0.007
51-9194,Etchers and Engravers,4,47000,0.88,n/a,n/a,n/a,0,-0.003,0,0,0,0,-0.005
53-2022,Airfield Operations Specialists,4,49300,0.48,n/a,n/a,n/a,1,0.065,0,0,0,0,-0.001
53-4041,Subway and Streetcar Operators,4,54600,0.88,n/a,n/a,n/a,1,0.036,0,0,0,0,-0.002
17-2061,Computer Hardware Engineers,3,123100,0.1,n/a,n/a,n/a,0,-0.018,0,0,0,0,0
19-1023,Zoologists and Wildlife Biologists,3,56800,0.28,n/a,n/a,n/a,-1,-0.04,0,0,0,0,-0.004
19-1099,"Life Scientists, All Other",3,58600,0.73,n/a,n/a,n/a,-1,-0.075,0,0,0,0,-0.003
19-4071,Forest and Conservation Technicians,3,45500,0.17,n/a,n/a,n/a,0,-0.027,0,0,0,0,-0.008
21-2099,"Religious Workers, All Other",3,42300,0.38,n/a,n/a,n/a,0,0.034,0,0,0,0,-0.002
23-1022,"Arbitrators, Mediators, and Conciliators",3,69600,0.96,n/a,n/a,n/a,-3,-0.124,0,0,0,0,-0.001
25-1041,"Agricultural Sciences Teachers, Postsecondary",3,96500,0.72,n/a,n/a,n/a,0,0.009,0,0,0,0,-0.001
25-1061,"Anthropology and Archeology Teachers, Postsecondary",3,89300,0.89,n/a,n/a,n/a,0,0.018,0,0,0,0,-0.004
25-4011,Archivists,3,59100,0.76,n/a,n/a,n/a,0,0.026,0,0,0,0,-0.002
25-4013,Museum Technicians and Conservators,3,52700,0.38,n/a,n/a,n/a,0,0.01,0,0,0,0,0
25-9021,Farm and Home Management Educators,3,45600,0.57,n/a,n/a,n/a,0,0.007,0,0,0,0,-0.008
27-1014,Special Effects Artists and Animators,3,77300,0.3,n/a,n/a,n/a,-2,-0.074,0,0,0,0,0
27-2041,Music Directors and Composers,3,67400,0.42,n/a,n/a,n/a,1,0.105,0,0,0,0,-0.005
29-1022,Oral and Maxillofacial Surgeons,3,173500,1.01,n/a,n/a,n/a,0,0,0,0,0,0,0.001
29-1023,Orthodontists,3,186200,0.99,n/a,n/a,n/a,0,-0.01,0,0,0,0,0.001
29-1081,Podiatrists,3,153100,0.66,n/a,n/a,n/a,-1,-0.032,0,0,0,0,-0.004
29-9092,Genetic Counselors,3,94300,1.82,n/a,n/a,n/a,0,0.025,0,0,0,0,0.004
39-4011,Embalmers,3,62300,1.55,n/a,n/a,n/a,-1,-0.047,0,0,0,0,-0.005
39-4012,Crematory Operators,3,39700,2.01,n/a,n/a,n/a,1,0.086,1,0,0,0,-0.003
41-9011,Demonstrators and Product Promoters,3,42300,0.12,n/a,n/a,n/a,-1,-0.039,1,0,0,0,-0.005
43-2021,Telephone Operators,3,37600,1.46,n/a,n/a,n/a,-2,-0.079,0,0,0,0,-0.035
43-4021,Correspondence Clerks,3,42500,0.86,n/a,n/a,n/a,-1,-0.084,0,0,0,0,-0.01
45-3031,Fishing and Hunting Workers,3,n/a,1.65,n/a,n/a,n/a,3,n/a,0,0,0,0,-0.005
47-2011,Boilermakers,3,60100,0.53,n/a,n/a,n/a,-1,-0.05,0,0,0,0,-0.008
47-2161,Plasterers and Stucco Masons,3,45100,0.24,n/a,n/a,n/a,-1,-0.053,0,0,0,0,-0.002
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,3,46300,0.17,n/a,n/a,n/a,-1,-0.063,0,0,0,0,-0.001
47-5044,"Loading and Moving Machine Operators, Underground Mining",3,53400,0.94,n/a,n/a,n/a,0,0.019,0,0,0,0,0.002
47-5051,"Rock Splitters, Quarry",3,52000,1.87,n/a,n/a,n/a,0,-0.016,0,0,0,0,0.002
47-5099,"Extraction Workers, All Other",3,46300,0.73,n/a,n/a,n/a,-1,-0.073,0,0,0,0,0.002
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",3,70300,0.48,n/a,n/a,n/a,0,0.002,0,0,0,0,0.002
51-2021,"Coil Winders, Tapers, and Finishers",3,58200,0.5,n/a,n/a,n/a,0,0.023,0,0,0,0,-0.011
51-3023,Slaughterers and Meat Packers,3,39100,0.08,n/a,n/a,n/a,0,0.003,0,0,0,0,-0.004
